,year,State,Median income,Smoke everyday,Smoke some days,Former smoker,Never smoked
428,2002,Virgin Islands,,7.0,2.4,12.1,78.5
429,2002,Virginia,70727.0,19.4,5.3,22.4,53.0
430,2002,Washington,64388.0,16.4,5.0,28.5,50.1
431,2002,West Virginia,41838.0,23.8,4.7,24.2,47.4
432,2002,Wisconsin,65414.0,18.5,4.9,27.3,49.4
433,2002,Wyoming,56665.0,19.2,4.4,26.5,49.8
434,2003,Alabama,51912.0,19.7,5.7,23.9,50.8
435,2003,Alaska,72230.0,19.3,7.0,26.1,47.7
436,2003,All States and DC,,16.9,5.1,25.2,52.0
437,2003,Arizona,57361.0,15.4,5.5,26.2,53.0
438,2003,Arkansas,44592.0,20.5,4.2,25.4,49.8
439,2003,California,68695.0,11.3,5.5,25.2,58.0
